code,name
XC,AJAIB SEKURITAS ASIA
PP,ALDIRACITA SEKURITAS INDONESIA
YO,AMANTARA SEKURITAS INDONESIA
ID,ANUGERAH SEKURITAS INDONESIA
SH,ARTHA SEKURITAS INDONESIA
DX,BAHANA SEKURITAS
SQ,BCA SEKURITAS
AR,BINAARTHA SEKURITAS
GA,BNC SEKURITAS INDONESIA
NI,BNI SEKURITAS
OD,BRI DANAREKSA SEKURITAS
RF,BUANA CAPITAL SEKURITAS
ZR,BUMIPUTERA SEKURITAS
YU,CGS-CIMB SEKURITAS INDONESIA
KI,CIPTADANA SEKURITAS ASIA
KZ,CLSA SEKURITAS INDONESIA
CS,CREDIT SUISSE SEKURITAS INDONESIA
PF,DANASAKTI SEKURITAS INDONESIA
II,DANATAMA MAKMUR SEKURITAS
DP,DBS VICKERS SEKURITAS INDONESIA
TX,DHANAWIBAWA SEKURITAS INDONESIA
TS,DWIDANA SAKTI SEKURITAS
ES,EKOKAPITAL SEKURITAS
MK,EKUATOR SWARNA SEKURITAS
SA,ELIT SUKSES SEKURITAS
BS,EQUITY SEKURITAS INDONESIA
AO,ERDIKHA ELIT SEKURITAS
EL,EVERGREEN SEKURITAS INDONESIA
PC,FAC SEKURITAS INDONESIA
FO,FORTE GLOBAL SEKURITAS
AF,HARITA KENCANA SEKURITAS
HP,HENAN PUTIHRAI SEKURITAS
GW,HSBC SEKURITAS INDONESIA
SC,IMG SEKURITAS
IU,INDO CAPITAL SEKURITAS
PD,INDO PREMIER SEKURITAS
IP,INDOSURYA BERSINAR SEKURITAS
BF,INTI  FIKASA  SEKURITAS
IT,INTI TELADAN SEKURITAS
IN,INVESTINDO NUSANTARA SEKURITAS
BK,J.P. MORGAN SEKURITAS INDONESIA
YB,JASA UTAMA CAPITAL SEKURITAS
DU,KAF SEKURITAS INDONESIA
HD,KGI SEKURITAS INDONESIA
AG,KIWOOM SEKURITAS INDONESIA
BQ,KOREA INVESTMENT AND SEKURITAS INDONESIA
YJ,LOTUS ANDALAN SEKURITAS
RX,MACQUARIE SEKURITAS INDONESIA
XL,MAHAKARYA ARTHA SEKURITAS
GI,MAHASTRA ANDALAN SEKURITAS
DD,MAKINDO SEKURITAS
CC,MANDIRI SEKURITAS
DM,MASINDO ARTHA SEKURITAS
ZP,MAYBANK SEKURITAS INDONESIA
CD,MEGA CAPITAL SEKURITAS
MU,MINNA PADI INVESTAMA SEKURITAS TBK
YP,MIRAE ASSET SEKURITAS INDONESIA
EP,MNC SEKURITAS
OK,NET SEKURITAS
XA,NH KORINDO SEKURITAS INDONESIA
RB,NIKKO SEKURITAS INDONESIA
RO,NILAI INTI SEKURITAS
TP,OCBC SEKURITAS INDONESIA
IH,PACIFIC 2000 SEKURITAS
AP,PACIFIC SEKURITAS INDONESIA
PG,PANCA GLOBAL SEKURITAS
GR,PANIN SEKURITAS TBK.
PS,PARAMITRA ALFA SEKURITAS
KK,PHILLIP SEKURITAS INDONESIA
AT,PHINTRACO SEKURITAS
PO,PILARMAS INVESTINDO SEKURITAS
RG,PROFINDO SEKURITAS INDONESIA
LS,RELIANCE SEKURITAS INDONESIA TBK.
DR,RHB SEKURITAS INDONESIA
LH,ROYAL INVESTIUM SEKURITAS 
IF,SAMUEL SEKURITAS  INDONESIA
MG,SEMESTA INDOVEST SEKURITAS
AH,SHINHAN SEKURITAS INDONESIA
DH,SINARMAS SEKURITAS
AZ,SUCOR SEKURITAS
SS,SUPRA SEKURITAS INDONESIA
SF,SURYA FAJAR SEKURITAS
LG,TRIMEGAH SEKURITAS INDONESIA TBK.
BR,TRUST SEKURITAS
AK,UBS SEKURITAS INDONESIA
TF,UNIVERSAL BROKER INDONESIA SEKURITAS
AI,UOB KAY HIAN SEKURITAS
CP,VALBURY SEKURITAS INDONESIA
BB,VERDHANA SEKURITAS INDONESIA
MI,VICTORIA SEKURITAS INDONESIA
AN,WANTEG SEKURITAS
FZ,WATERFRONT SEKURITAS INDONESIA
FS,YUANTA SEKURITAS INDONESIA
RS,YULIE SEKURITAS INDONESIA TBK.
